name,brand,price,store,imgLink,productLink,storeImgLink
dell inspiron 15 3515  amd ryzen 3 3250u  4gb 1tb  radeon graphics  fhd,dell,63900,daraz,https://static-01.daraz.com.np/p/0676dde4e3615c1fb3c77c9125d46a57.jpg,//www.daraz.com.np/products/dell-inspiron-15-3515-amd-ryzen-3-3250u-4gb-1tb-radeon-graphics-fhd-i105378196-s1032048623.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 3501 | 11th gen intel® core™ i5-1135g7 | ram 8gb + 512gb ssd | 15.6"" fhd | windows 10 home",dell,87426,daraz,https://static-01.daraz.com.np/p/892a1267b9b4e8185d98dfa1b4406400.png,//www.daraz.com.np/products/dell-inspiron-3501-11th-gen-intel-core-i5-1135g7-ram-8gb-512gb-ssd-156-fhd-windows-10-home-i117065017-s1032742203.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell inspiron 15 3511  i5 1135g7  8gb  128gb ssd+1tb hdd  nvidia mx 350 2gb gddr5  fhd,dell,82900,daraz,https://static-01.daraz.com.np/p/6c6272d5e8f6dcde293f949e1d5a6ad6.jpg,//www.daraz.com.np/products/dell-inspiron-15-3511-i5-1135g7-8gb-128gb-ssd1tb-hdd-nvidia-mx-350-2gb-gddr5-fhd-i122928775-s1033407363.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell vostro 3510 i5-1135g7 processor  8gb / 256gb nvme /intel iris xe/15.6-inch fhd (1920x1080) anti-glare led-backlit display,dell,92000,daraz,https://static-01.daraz.com.np/p/2662346bbe87a11b251a7f79760dd840.png,//www.daraz.com.np/products/dell-vostro-3510-i5-1135g7-processor-8gb-256gb-nvme-intel-iris-xe156-inch-fhd-1920x1080-anti-glare-led-backlit-display-i122973557-s1033415268.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell vostro i5-1135g7 processor  /8gb ram / storage  512gb nvme /intel iris xe/15.6-inch fhd (1920x1080) anti-glare led-backlit display.,dell,99900,daraz,https://static-01.daraz.com.np/p/2662346bbe87a11b251a7f79760dd840.png,//www.daraz.com.np/products/dell-vostro-i5-1135g7-processor-8gb-ram-storage-512gb-nvme-intel-iris-xe156-inch-fhd-1920x1080-anti-glare-led-backlit-display-i123022953-s1033433168.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 3511  11th gen intel® core™ i3-1115g4  ram 8gb + 256gb ssd  15.6"" fhd  windows 11 home",dell,60390,daraz,https://static-01.daraz.com.np/p/c6d9b07299e97c9c13fc97fb525756c5.png,//www.daraz.com.np/products/dell-inspiron-3511-11th-gen-intel-core-i3-1115g4-ram-8gb-256gb-ssd-156-fhd-windows-11-home-i116462609-s1031872399.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell vostro 3510 i3 11th gen / 4gb ram / 1tb hdd / 15.6"" hd display",dell,60000,itti,https://itti.com.np/pub/media/catalog/product/cache/d73a5018306142840707bd616a4ef293/v/o/vostro_3510_1.jpeg,https://itti.com.np/dell-vostro-3510-i3-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell inspiron 3511 i3 11th gen / 4gb ram / 128gb ssd / 1tb hdd / 15.6"" fhd display",dell,61000,itti,https://itti.com.np/pub/media/catalog/product/cache/d73a5018306142840707bd616a4ef293/d/e/dell-inspiron-3511-budget-laptop-price-nepal_2.jpg,https://itti.com.np/dell-inspiron-3511-i3-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell latitude 3410 i3 10th gen / 4gb ram / 1tb hdd / 14"" hd display",dell,62000,itti,https://itti.com.np/pub/media/catalog/product/cache/d73a5018306142840707bd616a4ef293/d/e/dell_3410_1.jpeg,https://itti.com.np/dell-latitude-3410-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell vostro 3510 i5 11th gen / 4gb ram / 1tb hdd / 15.6"" fhd display",dell,77000,itti,https://itti.com.np/pub/media/catalog/product/cache/d73a5018306142840707bd616a4ef293/v/o/vostro_3510_1_1.jpeg,https://itti.com.np/dell-vostro-3510-i5-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
